Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
A* Static,50,Hard,0,0,0,0.996755,9.40885
A* Static,50,Hard,1,1,0,0.99416,9.39883
A* Static,50,Hard,2,2,0,0.992213,9.40353
A* Static,50,Hard,3,1,0,0.992213,9.40353
A* Static,50,Hard,4,1,0,0.988319,9.41891
A* Static,50,Hard,5,1,0,0.97599,9.35106
A* Static,50,Hard,6,1,0,0.972096,9.31509
A* Static,50,Hard,7,1,0,0.971447,9.31463
A* Static,50,Hard,8,4,0,0.953926,9.2034
A* Static,50,Hard,9,1,0,0.95133,9.20055
A* Static,50,Hard,10,1,0,0.933809,9.24044
A* Static,50,Hard,11,1,0,0.889033,8.79489
A* Static,50,Hard,12,1,0,0.888384,8.79547
A* Static,50,Hard,13,1,0,0.882544,8.80074
A* Static,50,Hard,14,1,0,0.881895,8.80059
A* Static,50,Hard,15,1,0,0.869565,8.66269
A* Static,50,Hard,16,2,0,0.868267,8.66517
A* Static,50,Hard,17,1,0,0.867618,8.66567
A* Static,50,Hard,18,1,0,0.86697,8.67066
A* Static,50,Hard,19,1,0,0.86697,8.67066
A* Static,50,Hard,20,1,0,0.865672,8.64543
A* Static,50,Hard,21,1,0,0.85464,8.68793
A* Static,50,Hard,22,1,0,0.852693,8.67352
A* Static,50,Hard,23,1,0,0.852693,8.67352
A* Static,50,Hard,24,1,0,0.851395,8.66616
A* Static,50,Hard,25,1,0,0.851395,8.66616
A* Static,50,Hard,26,1,0,0.837119,8.64496
A* Static,50,Hard,27,1,0,0.83647,8.64624
A* Static,50,Hard,28,1,0,0.835172,8.65423
A* Static,50,Hard,29,1,0,0.835172,8.65423
A* Static,50,Hard,30,1,0,0.833874,8.62335
A* Static,50,Hard,31,1,0,0.833874,8.62335
A* Static,50,Hard,32,1,0,0.830629,8.64453
A* Static,50,Hard,33,1,0,0.829332,8.64945
A* Static,50,Hard,34,1,0,0.825438,8.66588
A* Static,50,Hard,35,1,0,0.824789,8.66404
A* Static,50,Hard,36,1,0,0.778066,7.93078
A* Static,50,Hard,37,2,0,0.756652,7.58576
A* Static,50,Hard,38,1,0,0.756652,7.58576
A* Static,50,Hard,39,2,0,0.750811,7.56266
A* Static,50,Hard,40,1,0,0.748215,7.53339
A* Static,50,Hard,41,1,0,0.746269,7.50348
A* Static,50,Hard,42,1,0,0.74562,7.49173
A* Static,50,Hard,43,1,0,0.744971,7.48606
A* Static,50,Hard,44,1,0,0.744322,7.47602
A* Static,50,Hard,45,1,0,0.743024,7.47598
A* Static,50,Hard,46,1,0,0.742375,7.47727
A* Static,50,Hard,47,1,0,0.742375,7.47727
A* Static,50,Hard,48,1,0,0.724854,6.95703
A* Static,50,Hard,49,1,0,0.724205,6.94803
A* Static,50,Hard,50,1,0,0.723556,6.94529
A* Static,50,Hard,51,1,0,0.724205,6.94534
A* Static,50,Hard,52,1,0,0.724205,6.94534
