Approach,Size,Difficulty,InitialTime,AdaptTimePerStep,AvgSuccessRate,AvgPathLength
A* Static,20,Easy,0.0346011,0,0.81369,4.15368
A* Oracle,20,Easy,0.0349697,0.0317311,1,4.28006
onlyTrainLeafNodes,20,Easy,1.30449,0.653725,1,4.65424
singleAgent,20,Easy,1.63009,0.120238,0.997815,5.38242
fedAsynQ_EqAvg,20,Easy,0.608924,0.0755009,0.997392,4.39128
fedAsynQ_ImAvg,20,Easy,0.737247,0.107479,0.998026,4.47423
A* Static,20,Medium,0.0339371,0,0.74128,4.69837
A* Oracle,20,Medium,0.0342345,0.0345688,0.992175,5.2616
onlyTrainLeafNodes,20,Medium,1.68922,0.636385,0.991759,5.61236
singleAgent,20,Medium,1.47324,0.238088,0.990427,5.754
fedAsynQ_EqAvg,20,Medium,0.599349,0.106775,0.990427,5.43827
fedAsynQ_ImAvg,20,Medium,0.732351,0.108748,0.990261,5.62396
A* Static,20,Hard,0.0278643,0,0.613021,4.89303
A* Oracle,20,Hard,0.028435,0.0303917,0.992894,6.68818
onlyTrainLeafNodes,20,Hard,2.28059,0.738977,0.992894,6.70544
singleAgent,20,Hard,1.99499,0.310348,0.990878,6.87425
fedAsynQ_EqAvg,20,Hard,0.590538,0.118082,0.99059,6.74282
fedAsynQ_ImAvg,20,Hard,0.710017,0.103695,0.99059,7.03001
A* Static,50,Easy,0.15052,0,0.901842,3.25758
A* Oracle,50,Easy,0.150149,0.155179,1,3.42659
onlyTrainLeafNodes,50,Easy,11.4489,0.49689,1,4.0548
singleAgent,50,Easy,11.4926,0.0592604,0.998909,4.17712
fedAsynQ_EqAvg,50,Easy,2.8616,0.0227411,0.998679,3.97794
fedAsynQ_ImAvg,50,Easy,3.54252,0.0331301,0.999182,3.99289
A* Static,50,Medium,0.15244,0,0.873423,4.09671
A* Oracle,50,Medium,0.142201,0.144041,0.998315,4.38424
onlyTrainLeafNodes,50,Medium,14.9437,0.6763,0.967282,5.13563
singleAgent,50,Medium,15.815,0.191163,0.993119,5.26519
fedAsynQ_EqAvg,50,Medium,3.91299,0.0415801,0.994037,5.06348
fedAsynQ_ImAvg,50,Medium,4.55357,0.0525511,0.993893,5.11855
A* Static,50,Hard,0.161201,0,0.832366,5.78654
A* Oracle,50,Hard,0.15255,0.146821,0.996839,6.16264
onlyTrainLeafNodes,50,Hard,16.2098,0.832385,0.892262,5.98987
singleAgent,50,Hard,18.5772,0.558267,0.991736,6.89679
fedAsynQ_EqAvg,50,Hard,5.24372,0.121077,0.992929,6.74562
fedAsynQ_ImAvg,50,Hard,7.21671,0.154375,0.993631,6.76595
A* Static,100,Easy,0.58085,0,0.956843,3.13106
A* Oracle,100,Easy,0.579589,0.585783,0.99927,3.18765
onlyTrainLeafNodes,100,Easy,52.9319,0.580783,0.999028,4.07028
singleAgent,100,Easy,56.8094,0.0757012,0.99801,4.18801
fedAsynQ_EqAvg,100,Easy,14.988,0.0229284,0.997588,3.95501
fedAsynQ_ImAvg,100,Easy,15.6282,0.0277431,0.998262,4.05517
A* Static,100,Medium,0.651321,0,0.940407,4.16319
A* Oracle,100,Medium,0.631844,0.639126,0.999859,4.24495
onlyTrainLeafNodes,100,Medium,62.812,0.656162,0.996764,5.1892
singleAgent,100,Medium,66.7742,0.162963,0.995011,5.3061
fedAsynQ_EqAvg,100,Medium,14.3762,0.0586786,0.994992,5.17233
fedAsynQ_ImAvg,100,Medium,15.6259,0.0671385,0.995029,5.17285
A* Static,100,Hard,0.779328,0,0.888602,6.54398
A* Oracle,100,Hard,0.775144,0.776486,0.996058,6.71957
onlyTrainLeafNodes,100,Hard,84.8284,0.958893,0.830986,7.11052
singleAgent,100,Hard,125.274,0.653269,0.988556,8.65097
fedAsynQ_EqAvg,100,Hard,32.3083,0.127673,0.990496,7.9946
fedAsynQ_ImAvg,100,Hard,40.022,0.138442,0.990247,7.99446
A* Static,200,Easy,2.49289,0,0.978458,3.11591
A* Oracle,200,Easy,2.50035,2.51906,0.99997,3.13611
onlyTrainLeafNodes,200,Easy,203.597,0.668699,0.999818,4.15481
singleAgent,200,Easy,206.044,0.0586426,0.999192,4.22748
fedAsynQ_EqAvg,200,Easy,60.1337,0.0208527,0.999231,3.97083
fedAsynQ_ImAvg,200,Easy,62.894,0.0241089,0.99924,4.02571
A* Static,200,Medium,3.16591,0,0.966694,4.55661
A* Oracle,200,Medium,3.16887,3.19643,0.999855,4.601
