Approach,Size,Difficulty,InitialTime,AdaptTimePerStep,AvgSuccessRate,AvgPathLength
A* Static,20,Easy,0.0335875,0,0.81369,4.15368
A* Oracle,20,Easy,0.0349746,0.0316565,1,4.28006
onlyTrainLeafNodes,20,Easy,1.42995,0.412847,0.998308,4.3033
singleAgent,20,Easy,1.52973,0.0699933,0.998661,5.17893
fedAsynQ_EqAvg,20,Easy,0.635306,0.0631355,0.996898,4.28918
fedAsynQ_ImAvg,20,Easy,0.772814,0.0721832,0.996687,4.29262
A* Static,20,Medium,0.0337355,0,0.74128,4.69837
A* Oracle,20,Medium,0.0340505,0.0346505,0.992175,5.2616
onlyTrainLeafNodes,20,Medium,1.44099,0.505096,0.964538,5.23676
singleAgent,20,Medium,1.63695,0.115854,0.959627,5.37175
fedAsynQ_EqAvg,20,Medium,0.623059,0.126444,0.982186,5.27494
fedAsynQ_ImAvg,20,Medium,0.7528,0.148508,0.982186,5.27494
A* Static,20,Hard,0.0279707,0,0.613021,4.89303
A* Oracle,20,Hard,0.0282483,0.0301078,0.992894,6.68818
onlyTrainLeafNodes,20,Hard,1.87839,0.487866,0.973689,6.60473
singleAgent,20,Hard,1.96304,0.1632,0.976186,6.70118
fedAsynQ_EqAvg,20,Hard,0.613107,0.107137,0.990878,6.78781
fedAsynQ_ImAvg,20,Hard,0.741644,0.108411,0.990878,7.00299
A* Static,50,Easy,0.148646,0,0.901842,3.25758
A* Oracle,50,Easy,0.150178,0.153226,1,3.42659
onlyTrainLeafNodes,50,Easy,8.97861,0.338651,0.99988,3.94136
singleAgent,50,Easy,8.56173,0.0403674,0.999143,3.9472
fedAsynQ_EqAvg,50,Easy,3.04204,0.0215195,0.99911,3.93068
fedAsynQ_ImAvg,50,Easy,3.20782,0.0286936,0.999143,3.95023
A* Static,50,Medium,0.140692,0,0.873423,4.09671
A* Oracle,50,Medium,0.142205,0.144422,0.998315,4.38424
onlyTrainLeafNodes,50,Medium,8.6548,0.389836,0.892602,4.68306
singleAgent,50,Medium,12.7489,0.140164,0.995945,5.18977
fedAsynQ_EqAvg,50,Medium,4.92944,0.0345155,0.996195,5.12556
fedAsynQ_ImAvg,50,Medium,6.75182,0.0484996,0.995967,5.18633
A* Static,50,Hard,0.16061,0,0.832366,5.78654
A* Oracle,50,Hard,0.152611,0.146851,0.996839,6.16264
onlyTrainLeafNodes,50,Hard,7.28097,0.440561,0.73661,5.38466
singleAgent,50,Hard,11.5878,0.32071,0.989562,6.7255
fedAsynQ_EqAvg,50,Hard,5.53783,0.183556,0.989025,6.56693
fedAsynQ_ImAvg,50,Hard,7.55201,0.222402,0.989178,6.58402
A* Static,100,Easy,0.593457,0,0.956843,3.13106
A* Oracle,100,Easy,0.579008,0.585746,0.99927,3.18765
onlyTrainLeafNodes,100,Easy,38.0158,0.406408,0.970517,3.83155
singleAgent,100,Easy,43.7089,0.0369817,0.998193,4.08144
fedAsynQ_EqAvg,100,Easy,18.9881,0.01695,0.998383,3.9708
fedAsynQ_ImAvg,100,Easy,20.0426,0.0200591,0.998488,3.99989
A* Static,100,Medium,0.639515,0,0.940407,4.16319
A* Oracle,100,Medium,0.630731,0.64034,0.999859,4.24495
onlyTrainLeafNodes,100,Medium,38.9071,0.416057,0.942015,4.96469
singleAgent,100,Medium,43.9018,0.148514,0.995761,5.36105
fedAsynQ_EqAvg,100,Medium,19.7208,0.0541366,0.994333,5.16809
fedAsynQ_ImAvg,100,Medium,20.9724,0.0659791,0.99469,5.18654
A* Static,100,Hard,0.779058,0,0.888602,6.54398
A* Oracle,100,Hard,0.774087,0.776144,0.996058,6.71957
onlyTrainLeafNodes,100,Hard,34.6196,0.534361,0.638271,6.20493
singleAgent,100,Hard,67.6983,0.351386,0.990391,8.59004
fedAsynQ_EqAvg,100,Hard,37.8263,0.136747,0.989853,8.08152
fedAsynQ_ImAvg,100,Hard,44.1324,0.156144,0.988692,8.05964
A* Static,200,Easy,2.49045,0,0.978458,3.11591
A* Oracle,200,Easy,2.49836,2.51736,0.99997,3.13611
onlyTrainLeafNodes,200,Easy,156.363,0.466786,0.989416,3.92539
singleAgent,200,Easy,164.85,0.0355229,0.999264,3.9891
fedAsynQ_EqAvg,200,Easy,68.4153,0.0186967,0.999263,3.93058
fedAsynQ_ImAvg,200,Easy,71.9573,0.0214826,0.999262,3.95598
A* Static,200,Medium,3.1683,0,0.966694,4.55661
A* Oracle,200,Medium,3.16888,3.195,0.999855,4.601
onlyTrainLeafNodes,200,Medium,148.873,0.510793,0.841013,5.06257
singleAgent,200,Medium,213.503,0.128946,0.997911,6.01109
fedAsynQ_EqAvg,200,Medium,101.919,0.0446603,0.998083,5.78185
fedAsynQ_ImAvg,200,Medium,107.082,0.0537405,0.998086,5.80836
A* Static,200,Hard,3.75237,0,0.918048,6.77091
A* Oracle,200,Hard,3.75628,3.77018,0.997767,6.99893
onlyTrainLeafNodes,200,Hard,132.088,0.548723,0.596383,5.96286
singleAgent,200,Hard,260.787,0.43909,0.986049,8.72031
fedAsynQ_EqAvg,200,Hard,142.038,0.190336,0.989337,8.36433
fedAsynQ_ImAvg,200,Hard,152.14,0.197041,0.988927,8.38576
A* Static,300,Easy,5.94819,0,0.98511,3.13221
A* Oracle,300,Easy,5.93993,6.18904,1,3.14797
onlyTrainLeafNodes,300,Easy,199.212,0.805087,0.999789,3.8601
singleAgent,300,Easy,202.489,0.054516,0.999344,4.02238
fedAsynQ_EqAvg,300,Easy,146.628,0.0325848,0.999544,3.76003
fedAsynQ_ImAvg,300,Easy,152.877,0.0422447,0.999422,3.84019
A* Static,300,Medium,7.92395,0,0.974463,4.76062
A* Oracle,300,Medium,7.9272,8.10361,0.999927,4.80094
onlyTrainLeafNodes,300,Medium,290.982,0.875796,0.978402,5.94815
singleAgent,300,Medium,308.657,0.12131,0.998101,6.24683
fedAsynQ_EqAvg,300,Medium,161.886,0.0679235,0.998263,5.9747
fedAsynQ_ImAvg,300,Medium,169.972,0.0755088,0.99822,6.00281
A* Static,300,Hard,8.86666,0,0.96247,6.96646
A* Oracle,300,Hard,8.86492,8.96546,0.998803,7.03609
onlyTrainLeafNodes,300,Hard,338.785,0.893608,0.864931,8.03655
singleAgent,300,Hard,434.903,0.40009,0.989639,9.11216
fedAsynQ_EqAvg,300,Hard,229.674,0.15405,0.990648,8.7068
fedAsynQ_ImAvg,300,Hard,245.947,0.186426,0.991199,8.73047
