Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
A*,10,Easy,0,0.0105662,0,1,5.1564
A*,10,Easy,1,0.0105662,0.0110644,1,5.0515
A*,10,Easy,5,0.0105662,0.00992601,1,5.0525
Local,10,Easy,0,0.297096,0,1,5.1288
Local,10,Easy,1,0.297096,0.17014,1,5.0459
Local,10,Easy,5,0.297096,0.174481,1,5.0284
Hierarchy,10,Easy,0,0.286641,0,1,5.1642
Hierarchy,10,Easy,1,0.286641,0.192277,1,5.0533
Hierarchy,10,Easy,5,0.286641,0.200624,1,5.0403
A*,10,Medium,0,0.00711579,0,1,5.271
A*,10,Medium,1,0.00711579,0.00703087,1,5.2277
A*,10,Medium,5,0.00711579,0.00789818,1,5.2655
Local,10,Medium,0,0.309567,0,1,5.3002
Local,10,Medium,1,0.309567,0.162875,1,5.2531
Local,10,Medium,5,0.309567,0.239471,1,5.2569
Hierarchy,10,Medium,0,0.289833,0,1,5.275
Hierarchy,10,Medium,1,0.289833,0.189537,1,5.2594
Hierarchy,10,Medium,5,0.289833,0.249988,1,5.2513
A*,10,Hard,0,0.00493087,0,1,8.1646
A*,10,Hard,1,0.00493087,0.0052647,1,9.145
A*,10,Hard,5,0.00493087,0.00238338,0.5396,4.86342
Local,10,Hard,0,0.342634,0,1,8.1762
Local,10,Hard,1,0.342634,0.23853,1,9.2021
Local,10,Hard,5,0.342634,0.283321,0.531,4.83955
Hierarchy,10,Hard,0,0.295471,0,1,8.176
Hierarchy,10,Hard,1,0.295471,0.234053,1,9.149
Hierarchy,10,Hard,5,0.295471,0.225537,0.5344,4.84862
A*,20,Easy,0,0.0858824,0,1,5.1035
A*,20,Easy,1,0.0858824,0.0857836,1,5.0895
A*,20,Easy,5,0.0858824,0.087303,1,5.1583
Local,20,Easy,0,0.560957,0,1,5.2351
Local,20,Easy,1,0.560957,0.321079,1,5.0929
Local,20,Easy,5,0.560957,0.459938,1,5.1169
Hierarchy,20,Easy,0,0.687582,0,1,5.3325
Hierarchy,20,Easy,1,0.687582,0.342257,1,5.0936
Hierarchy,20,Easy,5,0.687582,0.415387,1,5.12
A*,20,Medium,0,0.0567043,0,1,5.2204
A*,20,Medium,1,0.0567043,0.0563181,1,5.2342
A*,20,Medium,5,0.0567043,0.0559649,1,5.2541
Local,20,Medium,0,0.634899,0,1,5.2994
Local,20,Medium,1,0.634899,0.413657,1,5.2284
