Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
A* Oracle,10,Easy,0,0.00595456,0,1,5.06667
A* Oracle,10,Easy,1,0.00595456,0.00584999,1,5.08
A* Oracle,10,Easy,2,0.00595456,0.00565721,1,4.97297
A* Oracle,10,Easy,3,0.00595456,0.00573185,1,5.08
A* Oracle,10,Easy,4,0.00595456,0.00538904,1,5.16438
A* Oracle,10,Easy,5,0.00595456,0.005462,0.986486,4.80822
A* Oracle,10,Easy,10,0.00595456,0.00613786,1,4.85333
A* Static,10,Easy,0,0.00600327,0,1,5.06667
A* Static,10,Easy,1,0.00600327,2.8258e-05,0.973333,4.91781
A* Static,10,Easy,2,0.00600327,1.9343e-05,0.972973,5.01389
A* Static,10,Easy,3,0.00600327,1.5002e-05,0.773333,4.75862
A* Static,10,Easy,4,0.00600327,1.4513e-05,0.808219,4.42373
A* Static,10,Easy,5,0.00600327,1.5033e-05,0.702703,4.46154
A* Static,10,Easy,10,0.00600327,1.5156e-05,0.84,4.71429
Local,10,Easy,0,0.202346,0,1,5.06667
Local,10,Easy,1,0.202346,0.0736144,1,5.08
Local,10,Easy,2,0.202346,0.0664512,1,4.97297
Local,10,Easy,3,0.202346,0.10271,1,5.08
Local,10,Easy,4,0.202346,0.0879866,1,5.16438
Local,10,Easy,5,0.202346,0.0731379,0.986486,4.80822
Local,10,Easy,10,0.202346,0.164367,1,4.85333
Hierarchy,10,Easy,0,0.136965,0,1,5.06667
Hierarchy,10,Easy,1,0.136965,0.0770888,1,5.08
Hierarchy,10,Easy,2,0.136965,0.0769634,1,4.97297
Hierarchy,10,Easy,3,0.136965,0.101056,1,5.08
Hierarchy,10,Easy,4,0.136965,0.089329,1,5.16438
Hierarchy,10,Easy,5,0.136965,0.0947609,0.986486,4.80822
Hierarchy,10,Easy,10,0.136965,0.109187,1,4.85333
A* Oracle,10,Medium,0,0.00379683,0,1,5.21212
A* Oracle,10,Medium,1,0.00379683,0.00362836,1,5.21212
A* Oracle,10,Medium,2,0.00379683,0.00365467,1,5.22727
A* Oracle,10,Medium,3,0.00379683,0.00376979,1,5.18182
A* Oracle,10,Medium,4,0.00379683,0.0037823,1,5.26154
A* Oracle,10,Medium,5,0.00379683,0.00349671,1,5.18462
A* Oracle,10,Medium,10,0.00379683,0.00352857,0.96875,5.24194
