Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
A*,200,Easy,0,4.2047,0,0.9992,4.69916
A*,200,Easy,1,4.2047,4.1706,0.9998,4.74155
A*,200,Easy,5,4.2047,4.15827,0.9998,4.72364
A*,200,Easy,10,4.2047,4.31851,0.9998,4.70314
A*,200,Easy,20,4.2047,4.57895,0.9996,4.71979
A*,200,Easy,50,4.2047,4.23885,0.9997,4.69281
Local,200,Easy,0,104.714,0,0.9853,4.76058
Local,200,Easy,1,104.714,0.239918,0.9871,4.79485
Local,200,Easy,5,104.714,1.00125,0.9868,4.77098
Local,200,Easy,10,104.714,2.70264,0.9868,4.75608
Local,200,Easy,20,104.714,5.81155,0.9885,4.76257
Local,200,Easy,50,104.714,14.1209,0.9883,4.69736
Hierarchy,200,Easy,0,138.024,0,0.9938,4.69682
Hierarchy,200,Easy,1,138.024,0.639248,0.9932,4.73339
Hierarchy,200,Easy,5,138.024,2.39244,0.9937,4.68049
Hierarchy,200,Easy,10,138.024,5.83515,0.9932,4.67801
Hierarchy,200,Easy,20,138.024,11.16,0.9942,4.71324
Hierarchy,200,Easy,50,138.024,29.5973,0.9928,4.667
A*,200,Medium,0,3.00987,0,0.9967,5.08859
A*,200,Medium,1,3.00987,2.99244,0.9968,5.1241
A*,200,Medium,5,3.00987,2.9955,0.9971,5.05045
A*,200,Medium,10,3.00987,3.04066,0.9974,5.10407
A*,200,Medium,20,3.00987,3.04658,0.9971,5.04272
A*,200,Medium,50,3.00987,2.98938,0.9975,5.16812
Local,200,Medium,0,107.698,0,0.978,5.09775
Local,200,Medium,1,107.698,0.166416,0.9775,5.09893
Local,200,Medium,5,107.698,1.13652,0.9764,5.09002
Local,200,Medium,10,107.698,2.44681,0.9776,5.05953
Local,200,Medium,20,107.698,5.44321,0.9765,5.07619
Local,200,Medium,50,107.698,14.7596,0.9751,5.02718
Hierarchy,200,Medium,0,139.196,0,0.988,5.03168
Hierarchy,200,Medium,1,139.196,0.379679,0.9853,5.00142
Hierarchy,200,Medium,5,139.196,2.5614,0.9878,5.07107
Hierarchy,200,Medium,10,139.196,4.91561,0.986,5.11613
Hierarchy,200,Medium,20,139.196,14.1325,0.9868,4.99747
Hierarchy,200,Medium,50,139.196,28.9603,0.9837,5.04524
A*,200,Hard,0,4.4818,0,0.9881,7.84232
A*,200,Hard,1,4.4818,4.51075,0.9857,7.79172
A*,200,Hard,5,4.4818,4.50214,0.9855,7.79513
A*,200,Hard,10,4.4818,4.45228,0.9865,7.85839
A*,200,Hard,20,4.4818,4.48868,0.9838,7.71285
A*,200,Hard,50,4.4818,4.49159,0.9854,7.81256
Local,200,Hard,0,168.151,0,0.9484,7.63402
Local,200,Hard,1,168.151,0.250052,0.9426,7.71048
Local,200,Hard,5,168.151,1.35549,0.9457,7.6298
Local,200,Hard,10,168.151,4.17376,0.9448,7.61315
Local,200,Hard,20,168.151,6.77136,0.9445,7.61779
Local,200,Hard,50,168.151,19.6822,0.9437,7.59765
Hierarchy,200,Hard,0,227.959,0,0.9613,7.5917
Hierarchy,200,Hard,1,227.959,0.854801,0.9612,7.58146
Hierarchy,200,Hard,5,227.959,4.11616,0.9581,7.5799
Hierarchy,200,Hard,10,227.959,8.73837,0.9606,7.62305
Hierarchy,200,Hard,20,227.959,18.9742,0.9588,7.56539
Hierarchy,200,Hard,50,227.959,45.4137,0.9623,7.46358
A*,300,Easy,0,9.38418,0,0.9998,4.64213
A*,300,Easy,1,9.38418,9.39448,0.9999,4.67037
A*,300,Easy,5,9.38418,9.26231,0.9997,4.6811
A*,300,Easy,10,9.38418,9.24361,0.9999,4.71007
A*,300,Easy,20,9.38418,9.22908,1,4.6718
A*,300,Easy,50,9.38418,9.32855,0.9997,4.72062
Local,300,Easy,0,157.759,0,0.9899,4.83685
Local,300,Easy,1,157.759,0.552218,0.9925,4.81824
Local,300,Easy,5,157.759,1.38144,0.9894,4.80827
Local,300,Easy,10,157.759,4.16076,0.9908,4.85729
Local,300,Easy,20,157.759,9.62141,0.9893,4.81805
Local,300,Easy,50,157.759,22.5787,0.9925,4.80997
Hierarchy,300,Easy,0,200.042,0,0.9967,4.77436
Hierarchy,300,Easy,1,200.042,1.23084,0.9957,4.76268
Hierarchy,300,Easy,5,200.042,3.26289,0.9962,4.79572
Hierarchy,300,Easy,10,200.042,9.15008,0.9964,4.71758
Hierarchy,300,Easy,20,200.042,19.0371,0.9959,4.78371
Hierarchy,300,Easy,50,200.042,42.2452,0.9966,4.72617
A*,300,Medium,0,6.71656,0,0.9969,5.08025
A*,300,Medium,1,6.71656,6.73531,0.9969,5.08968
A*,300,Medium,5,6.71656,6.71098,0.9968,5.10684
A*,300,Medium,10,6.71656,6.73254,0.9966,5.11148
A*,300,Medium,20,6.71656,6.78849,0.9976,5.09473
A*,300,Medium,50,6.71656,6.85221,0.9959,5.16528
Local,300,Medium,0,163.308,0,0.9824,5.19391
Local,300,Medium,1,163.308,0.490917,0.9814,5.16711
Local,300,Medium,5,163.308,1.40868,0.9799,5.17655
Local,300,Medium,10,163.308,3.45073,0.9769,5.23001
Local,300,Medium,20,163.308,7.61382,0.9795,5.18397
Local,300,Medium,50,163.308,18.9957,0.9786,5.19814
Hierarchy,300,Medium,0,207.222,0,0.9886,5.1142
Hierarchy,300,Medium,1,207.222,1.24039,0.9897,5.16025
Hierarchy,300,Medium,5,207.222,2.56024,0.9913,5.16231
Hierarchy,300,Medium,10,207.222,7.80995,0.9897,5.05567
Hierarchy,300,Medium,20,207.222,16.6487,0.9904,5.10703
Hierarchy,300,Medium,50,207.222,41.8215,0.9902,5.02323
A*,300,Hard,0,9.77191,0,0.9872,7.65265
A*,300,Hard,1,9.77191,9.69893,0.9863,7.77583
A*,300,Hard,5,9.77191,9.80886,0.9849,7.6822
A*,300,Hard,10,9.77191,9.74017,0.9845,7.76638
A*,300,Hard,20,9.77191,9.99386,0.9848,7.66491
A*,300,Hard,50,9.77191,9.86869,0.9864,7.72618
Local,300,Hard,0,242.626,0,0.9583,7.79933
Local,300,Hard,1,242.626,0.764586,0.9554,7.71457
Local,300,Hard,5,242.626,2.75269,0.9575,7.64073
Local,300,Hard,10,242.626,7.28556,0.9599,7.66736
Local,300,Hard,20,242.626,9.80868,0.9558,7.53714
Local,300,Hard,50,242.626,26.5085,0.959,7.67935
Hierarchy,300,Hard,0,322.105,0,0.9697,7.62236
Hierarchy,300,Hard,1,322.105,1.53471,0.97,7.55876
Hierarchy,300,Hard,5,322.105,6.08507,0.9713,7.52435
Hierarchy,300,Hard,10,322.105,15.3328,0.9698,7.60683
Hierarchy,300,Hard,20,322.105,22.1959,0.9736,7.60374
Hierarchy,300,Hard,50,322.105,56.8063,0.9722,7.50103
