Approach,Size,Difficulty,InitialTime,AdaptTimePerStep,AvgSuccessRate,AvgPathLength
A* Static,20,Easy,0.0449487,0,0.625976,4.87964
A* Oracle,20,Easy,0.0439763,0.0435908,1,5.56131
Local,20,Easy,0.327564,0.116921,1,5.56586
Hierarchy,20,Easy,0.328525,0.116143,1,5.56439
A* Static,20,Medium,0.030559,0,0.738256,4.94167
A* Oracle,20,Medium,0.030255,0.0295354,0.995698,5.53942
Local,20,Medium,0.203124,0.124178,0.995698,5.54074
Hierarchy,20,Medium,0.27305,0.121457,0.995698,5.53735
A* Static,20,Hard,0.0194027,0,0.553722,6.20561
A* Oracle,20,Hard,0.0189403,0.0196412,0.894508,7.0497
Local,20,Hard,0.405056,0.20729,0.879869,6.85992
Hierarchy,20,Hard,0.524878,0.200794,0.879869,6.85583
A* Static,50,Easy,0.380774,0,0.928923,4.91074
A* Oracle,50,Easy,0.38014,0.39138,1,5.02625
Local,50,Easy,8.20102,0.184126,0.998879,5.09026
Hierarchy,50,Easy,10.0358,0.38278,0.999961,5.08716
A* Static,50,Medium,0.264001,0,0.936731,5.02193
A* Oracle,50,Medium,0.262986,0.264697,0.999071,5.09645
Local,50,Medium,7.39351,0.187298,0.997434,5.18582
Hierarchy,50,Medium,9.27201,0.407617,0.99833,5.13727
A* Static,50,Hard,0.272017,0,0.904956,7.43869
A* Oracle,50,Hard,0.276633,0.275333,0.998216,7.64743
Local,50,Hard,11.5431,0.272338,0.972632,7.62507
Hierarchy,50,Hard,15.0182,0.572105,0.975161,7.54859
A* Static,100,Easy,1.2843,0,0.98225,4.41227
A* Oracle,100,Easy,1.2863,1.2881,0.999877,4.43926
Local,100,Easy,30.6701,0.254741,0.999365,4.57253
Hierarchy,100,Easy,42.9963,0.566752,0.999632,4.54346
A* Static,100,Medium,0.916344,0,0.983868,4.55584
A* Oracle,100,Medium,0.919265,0.919522,0.999165,4.57958
Local,100,Medium,28.672,0.224993,0.997879,4.7113
Hierarchy,100,Medium,40.8663,0.51569,0.9987,4.66971
A* Static,100,Hard,1.24121,0,0.965229,7.27115
A* Oracle,100,Hard,1.23964,1.24435,0.998451,7.34974
Local,100,Hard,50.8056,0.295786,0.966935,7.2683
Hierarchy,100,Hard,74.3466,0.687441,0.975065,7.20101
A* Static,200,Easy,5.39489,0,0.995665,4.42832
A* Oracle,200,Easy,5.39272,5.38104,1,4.43161
Local,200,Easy,136.885,0.39675,0.997197,4.56855
Hierarchy,200,Easy,175.314,0.946338,0.997769,4.52931
A* Static,200,Medium,3.76986,0,0.99414,4.54122
A* Oracle,200,Medium,3.77851,3.75671,0.999695,4.54708
Local,200,Medium,128.881,0.408565,0.990389,4.63245
Hierarchy,200,Medium,175.578,0.968515,0.993905,4.6233
A* Static,200,Hard,5.00041,0,0.986458,6.97716
A* Oracle,200,Hard,5.0059,5.02276,0.997134,7.01443
Local,200,Hard,209.499,0.537514,0.984218,7.16239
Hierarchy,200,Hard,283.914,1.25656,0.986572,7.10615
A* Static,300,Easy,12.6372,0,0.99845,4.45513
A* Oracle,300,Easy,12.6634,12.7131,1,4.45711
Local,300,Easy,203.007,0.6975,0.99889,4.67738
Hierarchy,300,Easy,255.332,1.64772,0.999499,4.61005
A* Static,300,Medium,8.9608,0,0.998048,4.62214
A* Oracle,300,Medium,8.95548,9.01226,0.999859,4.6261
Local,300,Medium,206.143,0.689432,0.997846,4.83751
Hierarchy,300,Medium,259.18,1.58736,0.998873,4.76825
A* Static,300,Hard,10.5968,0,0.994449,6.86934
A* Oracle,300,Hard,10.584,10.6365,0.998451,6.88148
Local,300,Hard,292.707,0.860087,0.986034,7.00643
Hierarchy,300,Hard,380.995,2.06464,0.990714,6.94094
