Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
A* Static,20,Easy,0,0,0,1,5.54232
A* Static,20,Easy,1,1,0,0.996865,5.53774
A* Static,20,Easy,2,2,0,0.931034,5.38047
A* Static,20,Easy,3,1,0,0.880878,5.45907
A* Static,20,Easy,4,1,0,0.84326,5.36431
A* Static,20,Easy,5,1,0,0.84326,5.36431
A* Static,20,Easy,6,1,0,0.836991,5.37079
A* Static,20,Easy,7,1,0,0.736677,5.20426
A* Static,20,Easy,8,1,0,0.724138,5.1645
A* Static,20,Easy,9,1,0,0.724138,5.1645
A* Static,20,Easy,10,1,0,0.724138,5.1645
A* Static,20,Easy,11,1,0,0.724138,5.1645
A* Static,20,Easy,12,6,0,0.680251,5.11982
A* Static,20,Easy,13,1,0,0.605016,4.80311
A* Static,20,Easy,14,2,0,0.579937,4.83243
A* Static,20,Easy,15,1,0,0.579937,4.83243
A* Static,20,Easy,16,1,0,0.583072,4.84409
A* Static,20,Easy,17,1,0,0.583072,4.84409
A* Static,20,Easy,18,1,0,0.583072,4.84409
A* Static,20,Easy,19,1,0,0.586207,4.85027
A* Static,20,Easy,20,1,0,0.586207,4.85027
A* Static,20,Easy,21,1,0,0.579937,4.81081
A* Static,20,Easy,22,1,0,0.576803,4.80435
A* Static,20,Easy,23,1,0,0.570533,4.81868
A* Static,20,Easy,24,3,0,0.601881,4.72917
A* Static,20,Easy,25,1,0,0.601881,4.72917
A* Static,20,Easy,26,1,0,0.60815,4.7268
A* Static,20,Easy,27,1,0,0.595611,4.66316
A* Static,20,Easy,28,1,0,0.592476,4.66667
A* Static,20,Easy,29,1,0,0.589342,4.67553
A* Static,20,Easy,30,1,0,0.583072,4.62903
A* Static,20,Easy,31,1,0,0.583072,4.62903
A* Static,20,Easy,32,1,0,0.579937,4.60541
A* Static,20,Easy,33,1,0,0.579937,4.60541
A* Static,20,Easy,34,1,0,0.576803,4.59239
A* Static,20,Easy,35,1,0,0.576803,4.59239
A* Static,20,Easy,36,1,0,0.576803,4.61413
A* Static,20,Easy,37,1,0,0.579937,4.61081
A* Static,20,Easy,38,1,0,0.567398,4.61326
A* Static,20,Easy,39,2,0,0.545455,4.66092
A* Static,20,Easy,40,1,0,0.545455,4.66092
