Approach,Size,Difficulty,InitialTime,AdaptTimePerStep,AvgSuccessRate,AvgPathLength
A* Static,20,Easy,0.0457511,0,0.65716,4.90585
A* Oracle,20,Easy,0.0478077,0.0454747,1,5.57122
Local,20,Easy,1.67129,0.617678,1,5.57619
Hierarchy,20,Easy,1.67719,0.646679,1,5.57581
A* Static,20,Medium,0.0321442,0,0.774434,5.04939
A* Oracle,20,Medium,0.0330994,0.0308387,0.995262,5.5591
Local,20,Medium,1.70273,0.657795,0.995262,5.56111
Hierarchy,20,Medium,1.33692,0.654605,0.995262,5.56181
A* Static,20,Hard,0.0191858,0,0.603576,6.26679
A* Oracle,20,Hard,0.0208642,0.020235,0.88136,6.87413
Local,20,Hard,2.12423,0.951597,0.878159,6.845
Hierarchy,20,Hard,2.33098,0.932962,0.879373,6.85317
A* Static,50,Easy,0.384386,0,0.876733,4.81779
A* Oracle,50,Easy,0.386269,0.387174,1,5.03615
Local,50,Easy,22.2765,2.08176,0.919679,5.39448
Hierarchy,50,Easy,26.5789,3.68941,0.999946,5.38124
A* Static,50,Medium,0.265739,0,0.874828,4.9026
A* Oracle,50,Medium,0.266957,0.267654,0.99928,5.11022
Local,50,Medium,22.3493,1.90921,0.865904,5.23231
Hierarchy,50,Medium,26.7669,3.62023,0.99393,5.48856
A* Static,50,Hard,0.276749,0,0.813999,7.20047
A* Oracle,50,Hard,0.279163,0.277517,0.997775,7.57869
Local,50,Hard,27.7779,2.44902,0.74445,7.87019
Hierarchy,50,Hard,35.7757,5.0569,0.956881,8.08047
A* Static,100,Easy,1.29492,0,0.937845,4.35014
A* Oracle,100,Easy,1.29792,1.3054,0.999838,4.44209
Local,100,Easy,69.2376,1.51318,0.952393,4.84259
Hierarchy,100,Easy,96.4459,3.04655,0.999838,4.78589
A* Static,100,Medium,0.925821,0,0.929223,4.47163
A* Oracle,100,Medium,0.92741,0.932201,0.999163,4.58436
Local,100,Medium,70.948,1.54542,0.925292,4.91035
Hierarchy,100,Medium,96.9801,3.12835,0.995976,4.89257
A* Static,100,Hard,1.25568,0,0.852574,6.90792
A* Oracle,100,Hard,1.25544,1.26479,0.998296,7.3979
Local,100,Hard,135.461,3.02875,0.710492,7.06555
Hierarchy,100,Hard,187.447,6.61373,0.93613,8.2644
A* Static,200,Easy,5.4011,0,0.96513,4.38956
A* Oracle,200,Easy,5.40777,5.44509,1,4.43118
Local,200,Easy,310.781,1.70632,0.9612,4.88236
Hierarchy,200,Easy,387.261,3.41349,0.99465,4.73223
A* Static,200,Medium,3.78212,0,0.960263,4.49965
A* Oracle,200,Medium,3.81772,3.81089,0.999652,4.54611
Local,200,Medium,308.99,1.73438,0.951542,5.02369
Hierarchy,200,Medium,382.407,3.44145,0.993577,4.8778
A* Static,200,Hard,5.04586,0,0.929769,6.80519
A* Oracle,200,Hard,5.04229,5.06928,0.997182,7.01744
Local,200,Hard,515.141,2.65046,0.759648,7.38819
Hierarchy,200,Hard,653.798,5.58351,0.967493,7.96142
A* Static,300,Easy,12.7175,0,0.979446,4.43184
A* Oracle,300,Easy,12.7069,12.8413,1,4.45689
Local,300,Easy,313.317,1.62964,0.99484,4.97592
Hierarchy,300,Easy,391.797,3.58109,0.998614,4.72841
A* Static,300,Medium,9.03335,0,0.975814,4.59014
A* Oracle,300,Medium,9.03367,9.11856,0.999834,4.62571
Local,300,Medium,309.23,1.62269,0.990448,5.16248
Hierarchy,300,Medium,389.202,3.64419,0.997318,4.91003
A* Static,300,Hard,10.6936,0,0.959032,6.80309
A* Oracle,300,Hard,10.695,10.7419,0.998547,6.88061
Local,300,Hard,492.299,3.51339,0.947813,7.86978
Hierarchy,300,Hard,624.698,6.99508,0.987812,7.59662
