Approach,Size,Difficulty,InitialTime,AdaptTimePerStep,AvgSuccessRate,AvgPathLength
A* Static,20,Easy,0.155983,0,0.816624,7.5865
A* Oracle,20,Easy,0.121238,0.119261,1,8.32897
HierarchySmart,20,Easy,4.00356,0.208915,0.999476,8.47402
A* Static,20,Medium,0.0692872,0,0.638211,6.13621
A* Oracle,20,Medium,0.0526843,0.050344,1,7.12771
HierarchySmart,20,Medium,3.18793,0.1933,0.997544,7.31835
A* Static,20,Hard,0.0284989,0,0.626691,8.49084
A* Oracle,20,Hard,0.0216571,0.0212759,0.992864,8.6652
HierarchySmart,20,Hard,4.27441,0.32789,0.990095,8.76803
A* Static,50,Easy,0.23788,0,0.886453,5.05472
A* Oracle,50,Easy,0.231717,0.233805,1,5.2043
HierarchySmart,50,Easy,29.6333,0.175437,0.997234,5.5842
A* Static,50,Medium,0.143419,0,0.863877,4.55991
A* Oracle,50,Medium,0.145412,0.143454,0.999071,4.6984
HierarchySmart,50,Medium,23.8683,0.303622,0.995478,5.15546
A* Static,50,Hard,0.223161,0,0.756889,7.5309
A* Oracle,50,Hard,0.225532,0.222728,0.997083,9.47206
HierarchySmart,50,Hard,57.9763,0.654516,0.890517,8.42293
A* Static,100,Easy,1.11205,0,0.919433,4.77299
A* Oracle,100,Easy,1.11247,1.11355,1,4.90275
HierarchySmart,100,Easy,129.848,0.394962,0.995928,5.71131
A* Static,100,Medium,0.597178,0,0.942387,4.44762
A* Oracle,100,Medium,0.598785,0.60738,0.99986,4.52483
HierarchySmart,100,Medium,110.848,0.417432,0.99048,5.32382
A* Static,100,Hard,0.831051,0,0.874328,7.15265
A* Oracle,100,Hard,0.831748,0.832787,0.997906,7.38987
HierarchySmart,100,Hard,208.215,1.0931,0.973948,8.16814
A* Static,200,Easy,4.25726,0,0.970423,4.61762
A* Oracle,200,Easy,4.25494,4.28884,0.999878,4.65504
HierarchySmart,200,Easy,529.546,0.145202,0.992843,6.29358
A* Static,200,Medium,2.63432,0,0.966881,4.43638
A* Oracle,200,Medium,2.63553,2.65054,0.999911,4.4904
HierarchySmart,200,Medium,484.335,0.527165,0.992467,5.96434
A* Static,200,Hard,3.49541,0,0.943232,7.11821
A* Oracle,200,Hard,3.49515,3.50817,0.998167,7.21562
HierarchySmart,200,Hard,795.611,2.51984,0.981432,8.53721
A* Static,300,Easy,9.33505,0,0.979044,4.53722
A* Oracle,300,Easy,9.34497,9.59759,1,4.56969
HierarchySmart,300,Easy,618.237,0.288883,0.986987,6.50939
A* Static,300,Medium,6.61057,0,0.97373,4.61877
A* Oracle,300,Medium,6.60779,6.773,0.999822,4.65285
HierarchySmart,300,Medium,601.699,0.44339,0.981371,6.477
A* Static,300,Hard,7.25003,0,0.961302,6.77452
A* Oracle,300,Hard,7.25036,7.34689,0.998707,6.8538
HierarchySmart,300,Hard,836.25,1.51823,0.991409,8.36106
